naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4,cap_labor_ratio,non_prod_workers,labor_productivity,revenue_per_worker,naics_title,match_level,short_title,short_label,full_label,Industry,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp
311224,2016,8.3,510.0,6.1,13.1,324.8,38720.7,30532.0,8557.7,357.4,1975.7,387.4,4800.5,3287.5,1513.0,0.620999992,0.677999973,1.018000007,0.939999998,0.045000002,1.159000039,0.044,1.157999992,578.3734939759036,2.200000000000001,1031.0481927710844,4665.144578313252,Soybean and Other Oilseed Processing,exact,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311224,2017,9.5,570.2,7.2,14.9,373.3,35354.5,30538.4,4936.2,404.4,2156.8,681.9,,,,0.591000021,0.684000015,,1.029999971,,,,,,2.3,519.6,3721.5263157894738,Soybean and Other Oilseed Processing,exact,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311224,2018,9.1,535.7,7.0,13.3,337.6,38598.7,33949.2,4558.4,,1967.8,458.1,,,,0.648999989,0.683000028,,1.044999957,,,,,,2.0999999999999996,500.9230769230769,4241.615384615385,Soybean and Other Oilseed Processing,exact,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311225,2015,7.5,438.8,5.5,12.3,281.9,12069.1,9313.8,2725.1,172.2,922.4,95.7,2936.9,1964.1,972.7,0.829999983,0.801999986,1.026000023,1.006000042,-0.085000001,0.948000014,-0.083999999,0.948000014,391.5866666666667,2.0,363.34666666666664,1609.2133333333334,Fats and Oils Refining and Blending,exact,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311225,2016,7.4,451.2,5.3,12.0,275.8,11615.2,8859.9,2787.8,153.2,923.3,96.4,2937.0,1961.9,975.0,0.832000017,0.791000009,1.024000049,0.957000017,-0.013,0.935000002,-0.013,0.93599999,396.8918918918919,2.1000000000000005,376.72972972972974,1569.6216216216217,Fats and Oils Refining and Blending,exact,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311225,2017,6.1,363.6,4.7,10.7,222.4,9557.5,7169.8,2389.0,131.8,798.2,40.1,,,,0.873000026,0.80400002,,1.049999952,,,,,,1.3999999999999995,391.6393442622951,1566.8032786885246,Fats and Oils Refining and Blending,exact,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311225,2018,6.3,363.0,5.1,9.9,221.7,9115.3,6921.2,2166.7,,619.6,67.1,,,,0.859000027,0.808000028,,1.065999985,,,,,,1.2000000000000002,343.9206349206349,1446.873015873016,Fats and Oils Refining and Blending,exact,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311230,2015,12.4,813.4,9.9,21.2,627.2,9728.3,5702.3,3992.0,228.6,298.7,143.9,5582.2,3902.4,1679.8,1.031000018,0.874000013,1.016000032,0.93599999,-0.071999997,0.787999988,-0.071999997,0.787999988,450.17741935483866,2.5,321.93548387096774,784.5403225806451,Breakfast Cereal Manufacturing,exact,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311230,2016,11.7,759.2,9.8,20.3,602.3,9435.1,5506.6,3919.3,156.3,266.3,142.3,5471.8,3800.5,1671.3,1.042000055,0.853999972,1.014000058,0.764999986,-0.021,0.772000015,-0.021,0.772000015,467.67521367521374,1.8999999999999986,334.982905982906,806.4188034188035,Breakfast Cereal Manufacturing,exact,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311230,2017,13.2,823.2,11.5,23.5,668.5,10072.8,5740.7,4333.1,158.4,307.8,168.1,,,,1.041000009,0.864000022,,0.838,,,,,,1.6999999999999993,328.26515151515156,763.0909090909091,Breakfast Cereal Manufacturing,exact,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311230,2018,13.0,876.1,11.2,23.1,669.6,10414.3,5764.4,4650.7,,309.9,149.2,,,,1.049999952,0.884000003,,0.851000011,,,,,,1.8000000000000007,357.74615384615385,801.0999999999999,Breakfast Cereal Manufacturing,exact,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311313,2015,7.2,327.2,6.2,12.2,253.7,3588.6,2211.1,1425.2,158.1,1014.0,233.9,2017.4,1473.0,544.4,0.734000027,0.961000025,1.011000037,1.016000032,-0.067000002,1.146999955,-0.066,1.149999976,280.19444444444446,1.0,197.94444444444446,498.41666666666663,Beet Sugar Manufacturing,exact,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311313,2016,6.5,331.6,5.5,10.9,256.4,3683.1,2249.5,1621.2,140.0,1230.9,236.4,2025.8,1487.6,538.3,0.684000015,0.944999993,1.00999999,0.958000004,0.081,1.243000031,0.081,1.246000051,311.66153846153844,1.0,249.41538461538462,566.6307692307693,Beet Sugar Manufacturing,exact,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311313,2017,6.9,332.2,6.5,12.1,259.8,3595.8,2167.0,1274.5,173.6,1076.0,229.6,,,,0.680000007,0.958000004,,1.046000004,,,,,,0.40000000000000036,184.71014492753622,521.1304347826087,Beet Sugar Manufacturing,exact,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311313,2018,6.6,337.4,5.7,12.2,256.4,4238.2,2669.6,1380.3,,903.0,293.3,,,,0.726999998,0.980000019,,1.054999948,,,,,,0.8999999999999995,209.13636363636365,642.1515151515151,Beet Sugar Manufacturing,exact,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311314,2015,6.9,411.6,5.4,11.0,303.1,5792.7,3903.9,1814.4,287.5,722.1,140.6,3418.1,2301.8,1116.3,0.787,0.961000025,1.00999999,0.805000007,-0.013,1.238000035,-0.014,1.236999989,495.3768115942029,1.5,262.95652173913044,839.5217391304348,Cane Sugar Manufacturing,exact,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311314,2016,7.0,436.0,5.4,11.4,317.0,6033.6,4142.4,2114.8,163.2,960.5,140.6,3503.1,2411.2,1091.9,0.829999983,0.944999993,1.006999969,0.755999982,-0.072999999,1.151000023,-0.071999997,1.151000023,500.4428571428571,1.5999999999999996,302.11428571428576,861.9428571428572,Cane Sugar Manufacturing,exact,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311314,2017,7.2,429.9,5.5,12.6,324.7,6521.0,4632.4,1911.1,194.5,1046.2,189.5,,,,0.850000024,0.958000004,,0.828999996,,,,,,1.7000000000000002,265.43055555555554,905.6944444444445,Cane Sugar Manufacturing,exact,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311314,2018,7.4,449.8,5.8,13.0,317.3,6726.2,4786.0,2024.4,,1177.9,201.3,,,,0.79400003,0.980000019,,0.839999974,,,,,,1.6000000000000005,273.56756756756755,908.9459459459458,Cane Sugar Manufacturing,exact,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311340,2015,17.9,900.7,13.6,27.0,562.9,8098.1,3553.6,4581.6,429.1,784.9,97.5,3476.9,2593.6,883.2,1.0,0.961000025,1.014999986,1.141000032,0.054000001,1.057999969,0.052999999,1.057999969,194.24022346368716,4.299999999999999,255.95530726256987,452.40782122905034,Nonchocolate Confectionery Manufacturing,exact,Nonchocolate Confectionery Mfg,311340 | Nonchocolate Confectionery Mfg,311340 - Nonchocolate Confectionery Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311340,2016,19.9,996.6,14.4,28.7,606.3,8716.6,4002.6,4746.4,195.8,846.5,112.1,3673.3,2734.9,938.5,1.011000037,0.944999993,1.013000011,1.118000031,-0.037,1.019999981,-0.037,1.019999981,184.58793969849248,5.499999999999998,238.51256281407035,438.0201005025126,Nonchocolate Confectionery Manufacturing,exact,Nonchocolate Confectionery Mfg,311340 | Nonchocolate Confectionery Mfg,311340 - Nonchocolate Confectionery Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311340,2017,24.1,1146.1,18.2,34.9,693.8,10139.3,4752.3,5427.8,266.7,908.7,129.2,,,,1.034000039,0.958000004,,1.24000001,,,,,,5.900000000000002,225.21991701244812,420.7178423236514,Nonchocolate Confectionery Manufacturing,exact,Nonchocolate Confectionery Mfg,311340 | Nonchocolate Confectionery Mfg,311340 - Nonchocolate Confectionery Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311340,2018,23.6,1169.2,18.8,30.6,728.4,10114.8,4965.7,5131.4,,897.8,138.5,,,,1.05400002,0.980000019,,1.266000032,,,,,,4.800000000000001,217.43220338983048,428.593220338983,Nonchocolate Confectionery Manufacturing,exact,Nonchocolate Confectionery Mfg,311340 | Nonchocolate Confectionery Mfg,311340 - Nonchocolate Confectionery Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311351,2015,6.5,365.2,4.6,9.5,230.1,4670.6,3322.0,1377.2,115.4,698.3,53.8,2088.2,1420.2,668.0,1.057999969,0.961000025,1.019999981,1.095000029,-0.089000002,0.926999986,-0.089000002,0.926999986,321.2615384615384,1.9000000000000004,211.87692307692308,718.5538461538462,Chocolate and Confectionery Manufacturing from Cacao Beans,exact,Chocolate & Confectionery Mfg from Ca...,311351 | Chocolate & Confectionery Mfg from Ca...,311351 - Chocolate and Confectionery Manufacturing from Cacao Beans,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311351,2016,6.3,385.0,4.7,9.7,231.8,4783.3,3397.7,1422.9,63.3,747.3,50.1,2071.9,1398.5,673.4,1.042999983,0.944999993,1.018000007,1.105999947,0.016000001,0.941999972,0.016000001,0.941999972,328.8730158730159,1.5999999999999996,225.8571428571429,759.2539682539683,Chocolate and Confectionery Manufacturing from Cacao Beans,exact,Chocolate & Confectionery Mfg from Ca...,311351 | Chocolate & Confectionery Mfg from Ca...,311351 - Chocolate and Confectionery Manufacturing from Cacao Beans,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311351,2017,7.6,438.0,5.7,10.9,279.7,4248.3,2791.5,1459.8,122.7,601.5,44.4,,,,1.037999988,0.958000004,,1.228999972,,,,,,1.8999999999999995,192.07894736842107,558.9868421052632,Chocolate and Confectionery Manufacturing from Cacao Beans,exact,Chocolate & Confectionery Mfg from Ca...,311351 | Chocolate & Confectionery Mfg from Ca...,311351 - Chocolate and Confectionery Manufacturing from Cacao Beans,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311351,2018,8.2,503.8,6.3,12.6,339.2,4318.7,2806.4,1473.2,,587.6,44.1,,,,1.037999988,0.980000019,,1.256000042,,,,,,1.8999999999999995,179.65853658536588,526.6707317073171,Chocolate and Confectionery Manufacturing from Cacao Beans,exact,Chocolate & Confectionery Mfg from Ca...,311351 | Chocolate & Confectionery Mfg from Ca...,311351 - Chocolate and Confectionery Manufacturing from Cacao Beans,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311352,2015,33.4,1316.6,23.3,45.6,865.7,12299.4,5562.0,6762.9,236.6,1291.7,118.3,4283.9,3093.9,1190.0,1.036000013,0.961000025,1.016000032,0.995000005,0.004,1.013000011,0.004,1.013000011,128.26047904191617,10.099999999999998,202.48203592814372,368.2455089820359,Confectionery Manufacturing from Purchased Chocolate,exact,Confectionery Mfg from Purchased Choc...,311352 | Confectionery Mfg from Purchased Choc...,311352 - Confectionery Manufacturing from Purchased Chocolate,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311352,2016,34.1,1402.9,23.8,44.3,947.9,12682.2,5815.5,6869.4,230.8,1279.2,119.7,4254.9,3072.9,1181.9,1.052000046,0.944999993,1.013000011,0.933000028,-0.009,1.003999949,-0.009,1.003999949,124.77712609970673,10.3,201.44868035190615,371.9120234604106,Confectionery Manufacturing from Purchased Chocolate,exact,Confectionery Mfg from Purchased Choc...,311352 | Confectionery Mfg from Purchased Choc...,311352 - Confectionery Manufacturing from Purchased Chocolate,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311352,2017,38.4,1463.4,28.4,50.0,980.9,12425.8,6134.4,6358.6,313.6,1399.5,119.6,,,,1.082999945,0.958000004,,1.032999992,,,,,,10.0,165.58854166666669,323.5885416666667,Confectionery Manufacturing from Purchased Chocolate,exact,Confectionery Mfg from Purchased Choc...,311352 | Confectionery Mfg from Purchased Choc...,311352 - Confectionery Manufacturing from Purchased Chocolate,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311352,2018,38.2,1506.1,28.0,48.2,1003.6,12507.8,6119.4,6362.8,,1341.8,115.8,,,,1.085999966,0.980000019,,1.05400002,,,,,,10.200000000000003,166.565445026178,327.42931937172773,Confectionery Manufacturing from Purchased Chocolate,exact,Confectionery Mfg from Purchased Choc...,311352 | Confectionery Mfg from Purchased Choc...,311352 - Confectionery Manufacturing from Purchased Chocolate,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
